Word,stress_pattern
axioms,1-0-0
Axis,1-0
axle,1-0
axles,1-0
Axon,1-2
Ay,1
Ay,1
Ayatollah,2-0-1-0
ayatollahs,2-0-1-0
Aye,1
ayes,1
azalea,0-1-0
azaleas,0-1-0
Azores,0-1
Aztec,1-2
Azteca,2-1-0
Aztecs,1-2
azure,1-0
B,1
baas,1
Bab,1
Baba,1-0
Baba,1-0
Babbage,1-0
Babbit,1-0
Babbitt,1-0
babble,1-0
babbled,1-0
babbling,1-0-0
babbling,1-0
Babcock,1-0
babe,1
Babel,1-0
babes,1
babies,1-0
Babish,1-0
baboon,0-1
baboons,0-1
baboons,0-1
Babu,0-1
babushka,0-1-0
babushkas,0-1-0
baby,1-0
babyhood,1-0-2
babyish,1-0-0
Babylon,1-0-2
Babylonian,2-0-1-0-0
Babylonians,2-0-1-0-0
babysat,1-0-2
babysit,1-0-0
babysitter,1-0-2-0
babysitters,1-0-2-0
babysitting,1-0-2-0
baccalaureate,2-0-1-0-0
baccarat,2-0-1
bacchanal,1-0-0
bacchanal,0-1-0
bacchanalia,2-0-1-0
Bacchus,1-0
Bach,1
Bacharach,1-0-0
Bache,1
Bache,1
bachelor,1-0-0
bachelor,1-0
bachelors,1-0
bacillus,0-1-0
back,1
backache,1-2
backaches,1-2
backbiting,1-2-0
backboard,1-2
backboards,1-2
backbone,1-2
backbones,1-2
backdated,1-2-0
backdoor,1-2
backdrop,1-2
backdrops,1-2
backed,1
backer,1-0
backers,1-0
backfield,1-2
backfire,1-2
backfired,1-2-0
backfires,1-2-0
backfiring,1-2-0-0
backgammon,1-2-0
background,1-2
backgrounds,1-2
backhand,1-2
backhanded,1-2-0
backhanded,1-2-0
backhoe,1-2
backhoes,1-2
backing,1-0
backlash,1-2
backless,1-0
backlog,1-2
backlog,1-2
backlogged,1-2
backlogs,1-2
backpack,1-2
backpacks,1-2
backpedal,1-2-0
backpedaling,1-2-0-0
backpedaling,1-2-0
backpedals,1-2-0
backrest,1-2
backrests,1-2
backroom,1-2
backrooms,1-2
backs,1
backseat,0-1
backseats,0-1
backside,1-2
backsides,1-2
backslapping,1-2-0
backslash,1-2
backslide,1-2
backsliding,1-2-0
backspin,1-0
backstage,1-1
backstairs,1-2
backstop,1-2
backstroke,1-2
backtrack,1-2
backtracked,1-2
backtracking,1-2-0
backup,1-2
backups,1-2
Backus,1-0
backward,1-0
backwardness,1-0-0
backwards,1-0
backwash,1-2
backwater,1-2-0
backwaters,1-2-0
backwoods,1-1
backyard,1-2
backyards,1-2
bacon,1-0
bacteria,0-1-0-0
bacterial,0-1-0-0
bacterium,0-1-0-0
bad,1
bade,1
badge,1
badger,1-0
badgered,1-0
badgering,1-0-0
badgers,1-0
badges,1-0
Badland,1-2
Badlands,1-2
badly,1-0
badminton,1-2-0
badness,1-0
Bae,1
Baedeker,1-0-0
baffle,1-0
baffled,1-0
baffles,1-0
baffling,1-0-0
baffling,1-0
bag,1
bagel,1-0
bagels,1-0
bagful,1-2
baggage,1-0
baggage,1-0
bagged,1
baggie,1-0
bagging,1-0
baggy,1-0
Baghdad,1-0
bagman,1-0
bagpipe,1-2
bagpiper,1-2-0
bagpipes,1-2
bags,1
Bah,1
Bahamas,0-1-0
Bahamian,0-1-0-0
Baht,1
bail,1
baile,1
bailed,1
bailer,1-0
Bailey,1-0
Baileys,1-0
Bailiff,1-0
Bailiff,1-0
Bailiffs,1-0
bailing,1-0
bailiwick,1-0-2
bailouts,1-2
bails,1
bait,1
baited,1-0
baiting,1-0
baits,1
Baja,1-2
baka,1-0
bake,1
baked,1
Baker,1-0
bakeries,1-0-0
Bakers,1-0
Bakersfield,1-0-2
bakery,1-0-0
bakes,1
baking,1-0
Bakshi,1-0
Baku,0-1
Bakula,0-1-0
Bal,1
balance,1-0
balanced,1-0
balancer,1-0-0
balances,1-0-0
balances,1-0-0
balancing,1-0-0
balas,1-0
Balboa,0-1-0
balconies,1-0-0
balcony,1-0-0
bald,1
balder,1-0
Balderdash,1-0-2
balding,1-0
baldness,1-0
baldric,1-0
bale,1
baleen,0-1
baleful,1-0
baler,1-0
bales,1
Bali,1-0
Balian,1-0-0
Balinese,2-0-1
baling,1-0
balk,1
balk,1
Balkan,1-0
Balkans,1-0
balked,1
balking,1-0
balks,1
ball,1
ballad,1-0
ballade,0-1
ballads,1-0
Ballard,1-0
Ballas,1-0
ballast,1-0
ballasts,1-0
ballasts,1-0
ballcock,1-1
ballcocks,1-1
balled,1
baller,1-0
ballerina,2-0-1-0
ballerinas,2-0-1-0
ballet,0-1
ballets,0-1
ballgame,0-1
balling,1-0
ballistic,0-1-0
ballistics,0-1-0
ballo,1-0
Ballon,1-0
balloon,0-1
ballooned,0-1
ballooning,0-1-0
balloonist,0-1-0
balloonists,0-1-0
balloons,0-1
ballot,1-0
balloting,1-0-0
ballots,1-0
ballpark,1-2
ballparks,1-2
ballplayer,1-2-0
ballplayers,0-1-0
ballpoint,1-0
ballpoints,1-0
ballroom,1-2
ballrooms,1-2
balls,1
bally,1-0
bally,1-0
ballyhoo,1-0-1
balm,1
balm,1
balms,1
balms,1
balmy,1-0
baloney,0-1-0
Balow,1-0
balsa,1-0
Balsam,1-0
Baltic,1-0
Baltimore,1-0-2
bam,1
Bambino,2-1-0
bambinos,2-1-0
bamboo,0-1
ban,1
banal,0-1
banalities,0-1-0-0
banality,0-1-0-0
banana,0-1-0
bananas,0-1-0
Banbury,1-2-0
Banco,1-0
band,1
banda,1-0
bandage,1-0
bandaged,1-0
bandages,1-0-0
bandages,1-0-0
bandana,2-1-0
bandanas,2-1-0
Bandar,1-0
banded,1-0
Bander,1-0
Bandicoot,1-0-2
Bandicoot,1-0-2
bandied,1-0
banding,1-0
bandit,1-0
banditry,1-0-0
bandits,1-0
bandleader,1-0-0
bandleaders,1-0-0
bandolier,2-0-1
bandoliers,2-0-1
bands,1
bandstand,1-2
bandwagon,1-2-0
bandwidth,1-0
bandy,1-0
Bane,1
Banes,1
bang,1
banged,1
banger,1-0
bangers,1-0
banging,1-0
Bangkok,0-1
Bangkok,1-0
Bangladesh,1-0-2
Bangle,1-0
Bangles,1-0
bangs,1
banish,1-0
banished,1-0
banishing,1-0-0
banishment,1-0-0
banister,1-0-0
banjo,1-2
bank,1
bankable,1-0-0
bankcards,1-2
banked,1
banker,1-0
bankers,1-0
banking,1-0
banknote,1-2
banknotes,1-2
bankroll,1-2
bankrolled,1-2
bankrolling,1-2-0
bankrolls,1-2
bankrupt,1-0
bankruptcies,1-0-0
bankruptcy,1-0-0
bankruptcy,1-0-0
bankrupted,1-0-0
bankrupting,1-2-0
banks,1
banned,1
Banner,1-0
Bannerman,1-0-0
banners,1-0
Banning,1-0
Bannister,1-0-0
Bannister,1-0-0
banque,1
banquet,1-0
banquets,1-0
bans,1
banshee,0-1
banshee,1-0
bantam,1-0
Bantams,1-0
banter,1-0
bantering,1-0-0
Bantu,1-0
Banyan,1-0
baptism,1-0-0
baptismal,0-1-0
baptisms,1-2-0
Baptist,1-0
Baptist,1-0
Baptists,1-0
Baptists,1-0
baptize,0-1
baptized,0-1
baptized,1-2
bar,1
Bara,1-0
Barb,1
Barba,1-0
Barbados,0-1-0
Barbara,1-0-0
Barbara,1-0
barbarian,0-1-0-0
barbarians,0-1-0-0
barbaric,0-1-0
barbaric,0-1-0
barbarism,1-0-2-0
barbarity,0-1-0-0
barbarity,0-1-0-0
barbarous,1-0-0
Barbary,1-0-0
barbecue,1-0-2
barbecued,1-0-2
barbecues,1-0-2
barbed,1
barbell,1-2
barbells,1-2
barbeque,1-0-2
barbequed,1-0-2
barbeques,1-0-2
barber,1-0
Barbera,0-1-0
Barbero,0-1-0
barbers,1-0
barbershop,1-0-2
Barbie,1-0
Barbies,1-0
barbiturate,0-1-0-0
barbiturates,0-1-0-0
Barbone,1-2
barbs,1
Barcelona,2-0-1-0
Bard,1
Bardo,1-0
bare,1
bared,1
barefoot,1-2
barely,1-0
bares,1
barest,1-0
bargain,1-0
bargain,1-0
bargained,1-0
bargainer,1-0-0
bargaining,1-0-0
bargains,1-0
bargains,1-0
barge,1
barged,1
Barger,1-0
barges,1-0
barges,1-0
barging,1-0
Bari,1-0
Barile,1-0
baring,1-0
Barish,1-0
barite,1-0
baritone,1-0-2
baritones,1-0-2
barium,1-0-0
bark,1
barked,1
Barker,1-0
Barkers,1-0
barking,1-0
barks,1
barley,1-0
Barlow,1-2
barman,1-0
barn,1
Barnabas,1-0-0
Barnaby,1-0-0
Barnacle,1-0-0
barnacles,1-0-0
Barnard,1-0
Barnard,1-0
Barnard,0-1
Barney,1-0
Barneys,1-0
barns,1
barnstorm,1-2
barnstorming,1-2-0
Barny,1-0
barnyard,1-2
barometer,0-1-0-0
barometers,0-1-0-0
barometric,2-0-1-0
Baron,1-0
Baron,1-0
Baroness,1-0-0
baronet,1-0-0
baronet,2-0-1
baronets,1-0-0
baronets,2-0-1
Baroni,0-1-0
barons,1-0
barons,1-0
Baroque,0-1
Barr,1
barrack,1-0
barrack,1-0
barracks,1-0
barracks,1-0
barracuda,2-0-1-0
Barragan,1-0-0
barrage,0-1
barrages,0-1-0
Barre,1
Barre,1-0
barred,1
barrel,1-0
barrel,1-0
barreled,1-0
barreled,1-0
barreling,1-0-0
barreling,1-0-0
barrels,1-0
barrels,1-0
barren,1-0
barren,1-0
Barrens,1-0
Barres,1
Barret,1-0
barrette,0-1
barricade,1-0-2
barricade,1-0-2
barricaded,1-0-2-0
barricaded,1-0-2-0
barricades,1-0-2
barricades,1-0-2
barrier,1-0-0
barrier,1-0-0
barriers,1-0-0
barriers,1-0-0
barring,1-0
Barringer,1-0-0
barrio,1-0-0
Barrios,0-1-0
Barrios,0-1-0
barrister,1-0-0
barrister,1-0-0
barristers,1-0-0
barristers,1-0-0
barroom,1-2
Barrow,1-0
Barrow,1-0
Barrows,1-0
Barrows,1-0
Barry,1-0
Barry,1-0
bars,1
Bart,1
bartender,1-2-0
bartenders,1-2-0
barter,1-0
bartered,1-0
bartering,1-0-0
Barth,1
Bartholomew,0-1-0-2
Bartlett,1-0
Barton,1-0
basal,1-0
basalt,0-1
base,1
baseball,1-1
baseballs,1-1
baseboard,1-2
baseboards,1-2
based,1
baseless,1-0
baseline,1-2
baselines,1-2
baseman,1-0
basement,1-0
basements,1-0
baser,1-0
bases,1-0
bases,1-0
bases,1-0
bash,1
bashed,1
Basher,1-0
bashers,1-0
bashes,1-0
bashful,1-0
bashing,1-0
basic,1-0
basically,1-0-0
basics,1-0
Basil,1-0
basilica,0-1-0-0
basilica,0-1-0-0
basin,1-0
basing,1-0
basins,1-0
basis,1-0
basis,1-0
bask,1
basked,1
basket,1-0
basketball,1-0-2
basketballs,1-0-2
baskets,1-0
basking,1-0
Basque,1
Basques,1
bass,1
bass,1
basses,1-0
basses,1-0
basset,1-0
bassist,1-0
basso,1-0
bassoon,0-1
Bast,1
Basta,1-0
bastard,1-0
bastards,1-0
baste,1
basted,1-0
Bastian,1-0
Bastille,1-0
Bastille,2-1
basting,1-0
bastion,1-0
bastions,1-0
bat,1
Bataan,0-1
batboy,1-0
batch,1
batches,1-0
batches,1-0
bate,1
bated,1-0
Bateman,1-0
Bates,1
bath,1
bathe,1
bathed,1
bather,1-0
bather,1-0
bathers,1-0
bathers,1-0
bathes,1
bathing,1-0
bathrobe,1-2
bathrobes,1-2
bathroom,1-2
bathrooms,1-2
bathrooms,1-2
baths,1
bathtub,1-0
bathtubs,1-2
Batik,0-1
Batiste,0-1-0
Batman,1-2
Baton,1-2
Baton,1-0
Baton,0-1
batons,0-1
bats,1
Batt,1
battalion,0-1-0
battalions,0-1-0
batted,1-0
Batten,1-0
batter,1-0
battered,1-0
batteries,1-0-0
battering,1-0-0
batters,1-0
battery,1-0-0
batting,1-0
battle,1-0
battled,1-0
battlefield,1-0-2
battlefields,1-0-2
battlefront,1-0-2
battleground,1-0-2
battlegrounds,1-0-2
battlement,1-0-0
battlement,1-0-0
battlements,1-0-0
battles,1-0
battleship,1-0-2
battleships,1-0-2
battling,1-0-0
battling,1-0
batton,1-0
Batts,1
Batty,1-0
bauble,1-0
baubles,1-0
baud,1
bauxite,1-0
Bavarian,0-1-0-0
bawd,1
bawdy,1-0
bawl,1
bawled,1
Baxter,1-0
Bay,1
Bayard,1-0
baying,1-0
bayonet,1-0-2
bayonets,1-0-2
bayou,1-0
bayous,1-0
bays,1
bazaar,0-1
bazaars,0-1
Bazar,0-1
Baze,1
bazooka,0-1-0
bazookas,0-1-0
be,0
be,1
beach,1
beachcomber,1-2-0
beachcombers,1-2-0
beached,1
beaches,1-0
beaches,1-0
beachfront,1-0
beachhead,1-2
beachheads,1-2
beaching,1-0
beachy,1-0
beacon,1-0
beacons,1-0
bead,1
beaded,1-0
Beadle,1-0
beads,1
beadwork,1-2
beady,1-0
Beagle,1-0
beagles,1-0
beak,1
beaker,1-0
beal,1
beam,1
beamed,1
Beamer,1-0
beaming,1-0
beamish,1-0
beams,1
bean,1
beans,1
bear,1
bearable,1-0-0
beard,1
bearded,1-0
beards,1
bearer,1-0
bearers,1-0
bearing,1-0
bearings,1-0
bearish,1-0
bears,1
beast,1
Beastie,1-0
beasts,1
beat,1
Beata,0-1-0
beaten,1-0
beater,1-0
beaters,1-0
beating,1-0
beatings,1-0
Beatles,1-0
beatnik,1-0
beatniks,1-0
Beatrice,1-0-0
Beatrice,1-0-0
Beatrice,1-0
Beatrice,1-0
beats,1
Beau,1
Beaufort,1-0
Beaujolais,1-0-2
Beaumont,1-0
beautician,1-2-0
beauties,1-0
beautiful,1-0-0
beautifully,1-0-0
beautify,1-0-2
beauty,1-0
beaux,1
Beaver,1-0
beavers,1-0
bebop,1-2
Bec,1
becalmed,0-1
became,0-1
became,0-1
because,0-1
because,0-0
because,0-1
because,0-1
Beck,1
Becker,1-0
Becket,1-0
Beckett,1-0
beckon,1-0
beckoned,1-0
beckoning,1-0-0
beckons,1-0
Becks,1
become,0-1
becomes,0-1
becoming,0-1-0
bed,1
bedbug,1-0
bedbugs,1-0
bedchamber,1-2-0
bedded,1-0
bedding,1-0
bedecked,0-1
Bedell,1-0
bedeviled,0-1-0
bedfellow,1-2-0
bedfellows,1-2-0
Bedlam,1-0
Bedouin,1-0-0
Bedouin,1-0-0
Bedouin,1-0-2
Bedouins,1-0-0
Bedouins,1-0-0
Bedouins,1-0-2
bedpan,1-2
bedpans,1-2
Bedraggled,0-1-0
bedridden,1-2-0
bedrock,1-2
bedroom,1-2
bedrooms,1-2
beds,1
bedside,1-2
bedspread,1-2
bedtime,1-2
bee,1
Beech,1
Beecher,1-0
Beechwood,1-2
beef,1
Beefeater,1-2-0
beefed,1
beefing,1-0
beefs,1
Beefsteak,1-2
beefy,1-0
beehive,1-2
Beek,1
beekeeper,1-2-0
Beekeepers,1-2-0
beekeeping,1-2-0
Beeman,1-0
been,0
been,0
been,1
beep,1
beeped,1
beeper,1-0
beepers,1-0
beeping,1-0
beeps,1
beer,1
beers,1
Beery,1-0
bees,1
beet,1
Beethoven,1-0-0
beetle,1-0
beetles,1-0
beets,1
befall,0-1
befallen,0-1-0
befalls,0-1
befell,0-1
befits,0-1
befitting,0-1-0
before,0-1
before,2-1
beforehand,0-1-2
befriend,0-1
befriended,0-1-0
befriending,0-1-0
befriends,0-1
befuddled,0-1-0
beg,1
began,0-1
began,0-1
begat,0-1
beget,0-1
begets,0-1
begetting,0-1-0
beggar,1-0
beggars,1-0
begged,1
begging,1-0
begin,0-1
beginner,0-1-0
beginners,0-1-0
beginning,0-1-0
beginnings,0-1-0
begins,0-1
begonia,0-1-0
begonias,0-1-0
begot,0-1
begotten,0-1-0
begrudge,0-1
begs,1
beguile,0-1
beguiled,0-1
beguiling,0-1-0
begun,1-0
begun,0-1
behalf,0-1
behave,0-1
behaved,0-1
behaves,0-1
behaving,0-1-0
behavior,0-1-0
behavioral,0-1-0-0
behavioral,0-1-0-0
behaviorally,0-1-0-0-0
behaviorist,0-1-0-0
behaviors,0-1-0
behead,0-1
behead,0-1
beheaded,0-1-0
beheading,0-1-0
behemoth,0-1-0
behemoth,1-0-0
behemoths,0-1-0
behest,0-1
behind,0-1
behinds,0-1
Behn,1
Behold,0-1
beholden,0-1-0
beholder,0-1-0
beholding,0-1-0
behoove,0-1
behooves,0-1
beige,1
beiges,1-0
bein,1
being,1-0
beings,1-0
Beirut,0-1
Bel,1
Bela,1-0
belabor,0-1-0
belaboring,0-1-0-0
belated,0-1-0
belch,1
belched,1
Belcher,1-0
belching,1-0
beleaguered,0-1-0
Belfast,1-2
belfry,1-0
Belgian,1-0
Belgians,1-0
Belgium,1-0
Belgrade,1-2
Belgrade,1-0
Belie,0-1
belied,0-1
belief,0-1
beliefs,0-1
belies,0-1
believability,0-2-0-1-0-0
believable,0-1-0-0
believe,0-1
believed,0-1
believer,0-1-0
believers,0-1-0
believes,0-1
believing,0-1-0
belittle,0-1-0
belittled,0-1-0
belittles,0-1-0
belittling,0-1-0-0
belittling,0-1-0
bell,1
Belle,1
belles,1
Bellevue,1-2
Bellflower,1-2-0
bellhop,1-2
bellhops,1-2
Belli,1-0
bellicose,1-0-2
bellied,1-0
bellies,1-0
belligerence,0-1-0-0
belligerent,0-1-0-0
belligerents,0-1-0-0
Belling,1-0
bellman,1-0
bello,1-0
bellow,1-0
bellowed,1-0
bellowing,1-0-0
Bellows,1-0
bells,1
Bellwether,1-2-0
Bellwood,1-2
belly,1-0
bellyache,1-0-2
belong,0-1
belonged,0-1
belonging,0-1-0
belongings,0-1-0
belongs,0-1
beloved,0-1-0
beloved,0-1
below,0-1
below,0-1
belt,1
belted,1-0
belted,1-0
belter,1-0
belting,1-0
Belton,1-0
belts,1
Beltway,1-2
beluga,0-1-0
Belvedere,2-0-1
Belvedere,2-0-1
belying,0-1-0
bemoan,0-1
bemoaning,0-1-0
bemused,0-1
bemusement,1-0-0
Ben,1
bench,1
benches,1-0
benchmark,1-2
benchmarks,1-2
bend,1
bended,1-0
Bendel,1-0
Bendel,2-1
Bender,1-0
benders,1-0
bending,1-0
bends,1
Bene,1-0
beneath,0-1
Benedick,1-0-0
Benedict,1-0-2
Benedictine,2-0-1-0
benediction,2-0-1-0
benefactor,1-0-2-0
benefactors,1-0-2-0
beneficence,0-1-0-0
beneficent,2-0-1-0
beneficial,2-0-1-0
beneficially,2-0-1-0-0
beneficiaries,2-0-1-0-2-0
beneficiary,2-0-1-0-2-0
benefit,1-0-0
benefited,1-0-2-0
benefiting,1-0-0-0
benefits,1-0-0
benefitted,1-0-0-0
Benes,1-0
Benet,0-1
Benet,1-0
benevolence,0-1-0-0
benevolent,0-1-0-0
Bengal,1-0
Bengali,0-1-0
Bengals,1-0
Beni,1-0
benighted,0-1-0
benign,0-1
benignly,0-1-0
Benin,1-0
Benjamin,1-0-0
Benjy,1-0
Benn,1
Benne,1
Bennet,1-0
Benny,1-0
Beno,1-0
Bens,1
bent,1
Benvenuto,0-0-1-0
benzene,0-1
benzene,1-0
Benzine,1-0
Beowulf,1-0-2
bequeath,0-1
bequeathed,0-1
bequest,0-1
bequests,0-1
bequests,0-1
bequests,0-1
berate,0-1
berated,0-1-0
berating,0-1-0
Berber,1-0
bere,1
bereaved,0-1
bereavement,0-1-0
bereft,0-1
beret,1-0
beret,1-0
Berets,1-0
Berets,1-0
Beretta,0-1-0
Berettas,0-1-0
Berg,1
Berger,1-0
Bergman,1-0
bergs,1
Bering,1-0
Berk,1
Berkeley,1-0
Berkowitz,1-0-0
Berkshire,1-2
Berkshire,1-0
Berlin,0-1
Berliner,0-1-0
Berliner,0-1-0
Berliners,0-1-0
Berliners,0-1-0
berm,1
berms,1
Bermuda,0-1-0
Bermudas,0-1-0
Bernard,0-1
Bernard,1-0
Berne,1
berries,1-0
Berrigan,1-0-0
Berry,1-0
Berryman,1-0-0
berserk,0-1
berth,1
Bertha,1-0
berths,1
berths,1
Bertin,1-0
Bertram,1-0
Berwick,1-0
Beryl,1-0
beryllium,0-1-0-0
bes,1
Besant,1-0
beseech,0-1
beseeching,0-1-0
beset,0-1
besetting,0-1-0
beside,0-1
beside,2-1
Besides,0-1
Besides,2-1
besiege,0-1
besieged,0-1
bespeak,0-1
bespeaks,0-1
bespectacled,0-1-0-0
Bess,1
best,1
bested,1-0
Bester,1-0
bestial,1-0
bestiality,0-1-0-0
bestow,0-1
bestowed,0-1
bestowing,0-1-0
bestows,0-1
bestseller,1-1-0
bestseller,1-1-0
bestsellers,1-1-0
bestsellers,1-1-0
bestselling,1-1-0
bestselling,1-1-0
bet,1
Beta,1-0
betake,0-1
Betas,1-0
betcha,1-0
betel,1-0
Betelgeuse,1-0-0
Beth,1
Bethel,1-0
Bethel,1-2
Bethesda,0-1-0
Bethlehem,1-0-2
betide,0-1
betray,0-1
betrayal,0-1-0
betrayals,0-1-0
betrayed,0-1
betraying,0-1-0
betrays,0-1
bets,1
betta,1-0
better,1-0
bettered,1-0
bettering,1-0-0
betterment,1-0-0
betters,1-0
betting,1-0
bettor,1-0
bettors,1-0
Betty,1-0
between,0-1
between,0-1
betweens,0-1
betweens,0-1
betwixt,0-1
Beulah,1-0
Bevel,1-0
beverage,1-0-0
beverage,1-0
beverages,1-0-0
Bevil,1-0
bevy,1-0
Beware,0-1
bewilder,0-1-0
bewildered,0-1-0
bewildering,0-1-0-0
bewilderment,0-1-0-0
bewilders,0-1-0
bewitch,0-1
Bewitched,0-1
Bey,1
beyond,0-1
beyond,0-1
beyond,2-1
Bhutan,0-1
Bhutan,2-1
bi,1
bialy,0-1-0
Bianco,0-1-0
biannual,0-1-0-0
bias,1-0
biased,1-0
biases,1-0-0
bib,1
Bibb,1
Bibbs,1
Bibby,1-0
Bibi,0-1
Bibi,2-1
Bible,1-0
Bibles,1-0
biblical,1-0-0
biblical,1-0-0
bibliography,2-0-1-0-0
bibs,1
bicarbonate,0-1-0-0
Bice,1
bicentennial,2-0-1-0-0
biceps,1-2
Bick,1
bicker,1-0
bickered,1-0
bickering,1-0-0
bicuspid,0-1-0
bicuspids,0-1-0
bicycle,1-0-0
bicycles,1-0-0
bicycling,1-2-0-0
bicycling,1-2-0
bid,1
bidden,1-0
bidder,1-0
bidders,1-0
bidding,1-0
biddy,1-0
bide,1
biding,1-0
bids,1
bien,1
Biennale,0-1-2
Biennial,0-1-0-0
Bienvenu,0-1-0
bienvenue,0-1-0
bier,1
Biff,1
bifocal,1-0-0
bifocals,1-0-0
bifurcate,1-0-2
bifurcate,1-0-2
bifurcated,1-0-2-0
bifurcated,1-0-2-0
Bifurcation,2-0-1-0
Bifurcation,2-0-1-0
big,1
Bigfoot,1-2
bigger,1-0
biggest,1-0
biggie,1-0
biggies,1-0
Biggins,1-0
Bighorn,1-2
Bighorns,1-2
Bight,1
bigness,1-0
bigot,1-0
bigoted,1-0-0
bigotry,1-0-0
bigots,1-0
bigwig,1-2
bigwigs,1-2
bike,1
biked,1
biker,1-0
bikers,1-0
bikes,1
biking,1-0
bikini,0-1-0
bikinis,0-1-0
bilateral,0-1-0-0
bilaterally,0-1-0-0-0
Bilbo,1-2
bile,1
bilingual,0-1-0
bilious,1-0-0
bilk,1
bilked,1
bilking,1-0
Bill,1
billable,1-0-0
Billard,0-1
billboard,1-2
billboards,1-2
billed,1
billet,1-0
billet,1-0
billets,1-0
billfold,1-2
billiard,1-0
billiards,1-0
Billie,1-0
billing,1-0
Billings,1-0
billion,1-0
billionaire,2-0-1
billionaires,2-0-1
billions,1-0
billionth,1-0
billon,1-0
billow,1-0
billowed,1-0
billowing,1-0-0
billows,1-0
bills,1
Billy,1-0
bima,1-0
bimbo,1-0
bimbos,1-0
bimonthly,0-1-0
bin,1
binary,1-0-0
bind,1
binder,1-0
binders,1-0
binding,1-0
bindle,1-0
binds,1
Bing,1
binge,1
binged,1
binges,1-0
binging,1-0
Bingo,1-0
Bink,1
binocular,0-1-0-0
binoculars,0-1-0-0
binomial,0-1-0-0
bins,1
bio,2-1
biochemical,2-0-1-0-0
biochemical,2-0-1-0-0
biochemist,2-0-1-0
biochemistry,2-0-1-0-0
biodegradable,2-0-0-1-0-0
biodiversity,2-0-0-1-0-0
bioengineering,2-0-2-0-1-0
biofeedback,0-0-1-2
biographer,0-1-0-0
biographers,0-1-0-0
biographical,2-0-1-0-0
biographies,0-1-0-0
biography,0-1-0-0
biohazard,2-0-1-0
biologic,2-0-1-0
biological,2-0-1-0-0
biologically,0-0-1-0-0
biologics,0-0-1-0
biologist,0-1-0-0
biologists,0-1-0-0
biologists,0-1-0-0
biologists,0-1-0-0
biology,0-1-0-0
biomass,1-0-0
Biomedical,2-0-1-0-0
biophysics,2-0-1-0
biopsy,1-0-0
bios,1-0
Bioscience,2-0-1-0
biosphere,1-0-2
biotech,1-0-2
biotechnology,2-0-2-1-0-0
bipartisan,0-1-0-0
bipartisan,0-1-0-0
biplane,1-2
bipolar,0-1-0
biracial,0-1-0
Birch,1
bird,1
birdbrain,1-2
birdcage,1-0
birdhouse,1-0
Birdie,1-0
birdied,1-0
birdies,1-0
Birdman,1-0
birds,1
birdseed,1-0
Birdseye,1-0
Birdsong,1-2
Birdy,1-0
Birk,1
Birks,1
Birmingham,1-0-2
Birt,1
birth,1
birthday,1-2
birthdays,1-2
birthing,1-0
birthmark,1-2
birthmarks,1-2
birthplace,1-2
birthrate,1-2
birthright,1-2
births,1
bis,1
Biscuit,1-0
biscuits,1-0
bisexual,2-1-0-0
bisexuality,2-0-0-1-0-0
Bisexuals,2-1-0-0
Bish,1
Bishop,1-0
bishops,1-0
Bismarck,1-2
Bismark,1-2
bison,1-0
bisque,1
bistro,1-0
bit,1
bitch,1
bitches,1-0
bitchiness,1-0-0
bitchy,1-0
bite,1
biter,1-0
bites,1
biting,1-0
bits,1
Bitsy,1-0
bitten,1-0
bitter,1-0
bitterest,1-0-0
bitterly,1-0-0
bitterness,1-0-0
bitters,1-0
bittersweet,1-0-2
bitting,1-0
bitty,1-0
bitumen,2-1-0
bitumen,2-1-0
Bituminous,0-1-0-0
bivalves,1-2
bivouac,1-0
biweekly,0-1-0
biz,1
bizarre,0-1
bizarre,0-1
Bizet,0-1
black,1
blackball,1-2
blackberries,1-2-0
blackberry,1-2-0
Blackbird,1-0
blackbirds,1-0
blackboard,1-2
blackboards,1-2
blacked,1
blacken,1-0
blackened,1-0
blackens,1-0
blacker,1-0
blackest,1-0
Blackfoot,1-2
Blackie,1-0
blackjack,1-2
blacklist,1-2
blacklisted,1-2-0
blacklisting,1-2-0
blackmail,1-2
blackmailed,1-2
blackmailing,1-2-0
Blackman,1-0
blackness,1-0
blackout,1-2
blackouts,1-2
blacks,1
blacksmith,1-2
blacktop,1-2
Blackwood,1-2
bladder,1-0
bladders,1-0
blade,1
bladed,1-0
blades,1
blading,1-0
blah,1
Blain,1
Blair,1
Blake,1
blame,1
blamed,1
blameless,1-0
blames,1
blaming,1-0
Blan,1
Blanc,1
Blanca,1-0
Blanch,1
Blanche,1
Blanco,1-0
bland,1
blander,1-0
blandishments,1-0-0
blandly,1-0
blandness,1-0
blank,1
blanked,1
blanket,1-0
blanket,1-0
blanketed,1-0-0
blanketing,1-0-0
blankets,1-0
blanking,1-0
blankly,1-0
blanks,1
blare,1
blared,1
blares,1
blaring,1-0
blase,1
blasphemous,1-0-0
blasphemy,1-0-0
blast,1
blasted,1-0
blasted,1-0
Blaster,1-0
blasting,1-0
blastoff,1-2
blasts,1
blatant,1-0
blatantly,1-0-0
blather,1-0
blaze,1
blazed,1
blazer,1-0
blazers,1-0
blazes,1-0
blazing,1-0
bleach,1
bleached,1
Bleacher,1-0
bleachers,1-0
bleaching,1-0
bleak,1
bleaker,1-0
bleakest,1-0
Bleakness,1-0
bleary,1-0
bled,1
bleed,1
bleeding,1-0
bleeds,1
bleep,1
bleeping,1-0
